ticker,target_name,aliases
TWE,Treasury Wine Estates Limited,
SYL,Symal Group Ltd,
ANN,Ansell Limited,Ansell
MVF,Monash IVF Group Limited,
CAR,carsales.com Ltd,
PWR,Peter Warren Automotive Holdings Limited,
SDF,Steadfast Group Limited,Steadfast
ABB,Aussie Broadband Limited,
REA,REA Group Limited,
CLG,Close the Loop Ltd,
NEC,Nine Entertainment Co. Holdings Limited,Nine Entertainment
PFP,Propel Funeral Partners Limited,Propel Funeral
KMD,KMD Brands Limited,
FDV,Frontier Digital Ventures Limited,
BWP,BWP Group,
WOR,Worley Limited,WorleyParsons
PPC,Peet Limited,
AVD,Avada,
BAP,Bapcor Limited,Bapcor
MYR,Myer Holdings Limited,
A1N,ARN Media Limited,HT&E | ARN Media
LIC,Lifestyle Communities Limited,
MMS,McMillan Shakespeare Limited,
COH,Cochlear Limited,
CBO,Cobram Estate Olives Limited,Cobram Estate
SEK,SEEK Limited,Seek
ALQ,ALS Limited,ALS
CMW,Cromwell Property Group,Cromwell
REH,Reece Limited,Reece
DOW,Downer EDI Limited,
BSL,BlueScope Steel Limited,Blue Scope Steel
FPR,FleetPartners Group Limited,
HSN,Hansen Technologies Ltd,
VEA,Viva Energy Group Limited,
BGA,Bega Cheese Limited,
BRI,Big River,
HLO,Helloworld Travel Limited,
IDX,Integral Diagnostics,Integral Diagnostics Limited
VCX,Vicinity Centres,Vicinity
KPG,Kelly Partners Group Holdings Limited,Kelly Partners | Kelly+Partners Group Holdings Limited
IFL,Insignia Financial,
C79,Chrysos Corporation Limited,
ING,Inghams Group Limited,Inghams
BRG,Breville Group Limited,
LOV,Lovisa Holdings Limited,
SFC,Schaffer Corporation Limited,
KLS,Kelsian Group Limited,SeaLink
VVA,Viva Leisure Group,
PMV,Premier Investments Limited,
FLT,Flight Centre Travel Group Limited,
APE,A.P. Eagers Automotive Limited,AP Eagers | Eagers Automotive
ENN,Elanor Investors Group,
BBN,BBN,
SGH,SGH,
GDI,GDI Property Group,GDI
SUL,SUL,
EVT,EVT Limited,Event Hospitality
CCP,Credit Corp Group Limited,Credit Corp
ASG,Autosports Group Limited,Autosports
GMG,GMG,
HVN,HVN,
SHL,Sonic Healthcare Limited,Sonic Healthcare
HCW,HealthCo Healthcare & Wellness REIT,HealthCo | Health Co
HMC,HMC,
PEN,ProTen,
RRC,Redarc,
RBL,RBL,
TSS,Theiss,
VRN,Vysarn,
WON,Winton,
ATA,ATA,
MXI,MXI,
MFD,MFD,
PYC,PYC,
PLS,Pilbara Minerals,Pilbara
TRJ,TRJ,
AZJ,Aurizon Holdings Limited,Aurizon
IGO,IGO,
MBH,MBH,
GDG,GDG,
PLY,PLY,
PME,PME,
SXL,SXL,
EGG,EGG,
RIC,RIC,
SGR,The Star Entertainment Group Limited,Star Entertainment | The Star Entertainment
VIT,VIT,
WTC,WTC,
EML,EML,
STO,Santos Limited,Santos
RHC,Ramsay Health Care Limited,Ramsay
RDY,RDY,
CSL,CSL Ltd,CSL
HLS,HLS,
M7T,M7T,
PPS,PPS,
PXA,PXA,
SGP,Stockland,Stockland
DNL,Dyno Noble Ltd,Dyno Nobel | Incitec Pivot
LFS,LFS,
NXD,NXD,
CRN,CRN,
PSQ,PSQ,
RGN,Region Group,Shopping Centres Australasia
SPA,SPA,
GTN,GTN,
OBL,OBL,
ACL,ACL,
DMP,Domino's Pizza Enterprises Limited,Dominos Pizza
GEM,G8 Education Limited,G8 Education
XF1,XF1,
SHV,SHV,
IEL,IDP Education Limited,IDP Education
JBH,JBH,
NVX,Novonix Limited,NOVONIX
TPW,TPW,
UNI,UNI,
EQT,EQT,
GPT,GPT Group,GPT
ORG,Origin Energy,
TRS,TRS,
MCP,MCP,
SIQ,SIQ,
RAC,RAC,
BOT,BOT,
WZR,WZR,
FWD,FWD,
VNT,VNT,
